IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
410606,3,4,7,8,7,3,7,5,,,
410607,10,10,10,9,10,10,10,,,,10
410608,10,10,10,10,10,10,10,10,,,6
410609,3,7,8,7,7,6,5,5,,,6
410610,10,10,9,6,7,7,8,10,,7,5
410612,9,8,9,9,8,8,9,9,,,8
410613,7,9,7,7,7,7,7,7,,,
410614,4,,4,,,10,,,,,
410615,8,7,9,6,6,8,7,7,7,7,6
410616,8,10,8,10,10,10,10,8,8,,
410617,10,8,4,6,3,8,7,,,,8
410618,7,8,7,8,7,,8,,,,8
410619,,4,,,4,5,6,,,,
410620,,,9,9,9,,9,10,,,9
410621,3,6,4,7,5,4,4,,,,
410622,,7,,5,10,10,10,,,,
410623,7,8,10,7,7,8,7,9,,,6
410624,8,8,8,7,8,9,8,9,,8,7
410625,10,10,10,5,9,,,,,,
410626,9,8,7,7,8,8,8,,,,8
410627,,9,,,10,,,9,,,
410628,10,10,10,10,10,10,10,,,8,10
410629,7,8,8,8,10,7,6,10,,,7
410630,7,5,6,4,3,8,10,10,5,,4
410631,,6,5,6,3,2,2,,,,3
410632,4,7,6,7,6,6,6,9,,2,3
410633,10,10,10,10,10,10,10,,,,9
410634,10,10,9,10,8,10,10,,10,,
410635,7,8,7,8,9,7,10,6,10,5,
410636,9,9,6,8,8,6,9,6,,,6
410637,7,7,6,5,,,7,,,7,
410638,9,7,8,8,7,5,5,6,,6,5
410639,,7,7,8,,6,6,6,,,7
410640,5,6,5,4,8,8,8,4,,,8
410641,8,7,7,7,7,8,8,7,8,6,6
410642,10,10,5,9,5,,8,,,2,10
410644,7,7,5,6,7,6,6,8,,7,6
410645,4,9,7,6,8,6,3,,,,5
410646,7,8,6,3,5,7,5,5,,7,
410647,9,9,5,6,7,8,6,,7,,9
410648,,6,5,4,5,5,5,5,,,3
410649,8,6,8,5,8,8,8,6,,,6
410650,9,9,10,9,9,10,10,8,9,9,8
410651,,,,10,9,,10,,,,
410652,8,8,7,3,5,6,5,,2,,2
410653,,10,1,1,10,,1,,,,
410654,10,10,5,10,6,10,5,,1,5,3
410656,10,9,7,8,7,10,8,9,6,5,7
410657,3,10,8,4,5,10,2,,,6,2
410658,10,10,10,10,10,,,,,,
410659,6,8,,8,9,,9,,,,9
410660,2,3,5,3,2,5,3,10,,,3
410661,9,10,8,10,6,7,7,7,10,10,9
410662,5,5,10,2,2,7,3,7,,,2
410663,7,8,9,7,7,7,7,8,,,7
410664,8,7,7,8,7,7,7,7,,,8
410665,5,9,8,7,8,7,9,,9,5,9
410666,7,7,6,5,8,6,6,6,,,6
410668,3,5,3,2,10,4,10,4,,,10
410669,,6,7,10,9,7,10,,,,
410670,10,9,9,9,10,8,10,6,6,,10
410671,10,10,10,2,2,2,,,,,
410672,3,7,3,3,3,,4,4,,,3
